Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,323,,,,323,,2891,,,0
H5,2017,2017,2017,6,1,2,Export,20,Andorra,AND,724,Spain,ESP,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,323,,,,323,,2891,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,632847,,,,656971,,4083964,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,48,Bahrain,BHR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,991,,,,1064,,31721,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,76,Brazil,BRA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1740,,,,1755,,10431,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,552,,,,630,,5812,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,124,Canada,CAN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,501,,,,531,,47735,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,2580,,,,2580,,23301,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,12958,,,,13553,,194342,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,242,Fiji,FJI,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,10462,,,,10580,,52727,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,276,Germany,DEU,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,8271,,,,8556,,14355,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,11930,,,,11930,,75642,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,360,Indonesia,IDN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,40089,,,,40089,,127586,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,384,Côte d'Ivoire,CIV,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1,,,,1,,29,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,392,Japan,JPN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,8000,,,,8400,,85878,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,7254,,,,11354,,31024,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,422,Lebanon,LBN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3634,,,,3634,,24368,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,458,Malaysia,MYS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,177866,,,,183613,,757594,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,490,"Other Asia, nes",,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,515,,,,515,,16329,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,540,New Caledonia,NCL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,433,,,,453,,2453,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,548,Vanuatu,VUT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,175,,,,175,,2880,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,206689,,,,210388,,1685334,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,566,Nigeria,NGA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,125,,,,125,,9241,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,586,Pakistan,PAK,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,150,,,,174,,4024,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,598,Papua New Guinea,PNG,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,19935,,,,24527,,197633,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,608,Philippines,PHL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,24282,,,,24294,,97577,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,626,Timor-Leste,TLS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,512,,,,512,,3846,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,682,Saudi Arabia,SAU,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3,,,,11,,3729,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,699,India,IND,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1553,,,,1563,,41477,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,702,Singapore,SGP,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,2993,,,,3128,,27728,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,704,Viet Nam,VNM,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1791,,,,1898,,17013,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,710,South Africa,ZAF,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,17967,,,,21317,,116559,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,764,Thailand,THA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,334,,,,354,,1587,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,784,United Arab Emirates,ARE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,9454,,,,10008,,73356,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,818,Egypt,EGY,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,88,,,,88,,5129,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,826,United Kingdom,GBR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,555,,,,617,,37259,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,842,USA,USA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,58461,,,,58550,,258247,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1487345,,,,1487345,,10603056,,,6
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3605,,,,3605,,22717,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,12,Algeria,DZA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,94,,,,94,,2185,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1856,,,,1856,,36613,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1,,,,1,,5,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,126,,,,126,,8310,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,12814,,,,12814,,90555,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,44,Bahamas,BHS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,47,,,,47,,444,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,56,Belgium,BEL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,6629,,,,6629,,157779,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,68,Bolivia (Plurinational State of),BOL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,403,,,,403,,10661,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,70,Bosnia Herzegovina,BIH,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,9511,,,,9511,,65260,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,72,Botswana,BWA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,12,,,,12,,437,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3488,,,,3488,,20600,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,9254,,,,9254,,48092,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,112,Belarus,BLR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1142,,,,1142,,8493,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,2069,,,,2069,,32039,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,144,Sri Lanka,LKA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,60,,,,60,,705,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,152,Chile,CHL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,4291,,,,4291,,21926,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,5452,,,,5452,,171801,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,58,,,,58,,846,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,180,Dem. Rep. of the Congo,COD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1,,,,1,,9,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,191,Croatia,HRV,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,62164,,,,62164,,588964,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,203,Czechia,CZE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,142120,,,,142120,,787439,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,208,Denmark,DNK,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,5990,,,,5990,,582274,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1,,,,1,,125,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,103,,,,103,,485,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,246,Finland,FIN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3339,,,,3339,,21739,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,11616,,,,11616,,97275,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,276,Germany,DEU,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,649730,,,,649730,,3343374,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1885,,,,1885,,13242,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,320,Guatemala,GTM,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,58,,,,58,,647,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,4,,,,4,,90,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,5150,,,,5150,,7281,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,140090,,,,140090,,1143771,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,352,Iceland,ISL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,2342,,,,2342,,5095,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,20,,,,20,,740,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,364,Iran,IRN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1329,,,,1329,,6040,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,368,Iraq,IRQ,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,6,,,,6,,45,,,6
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,372,Ireland,IRL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1487,,,,1487,,45534,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1317,,,,1317,,11218,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,47787,,,,47787,,215581,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,118,,,,118,,6723,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,404,Kenya,KEN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,5,,,,5,,10,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,410,Rep. of Korea,KOR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,141,,,,141,,3288,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,51,,,,51,,2732,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,418,Lao People's Dem. Rep.,LAO,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,20,,,,20,,382,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,44,,,,44,,196,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,19577,,,,19577,,97320,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,607,,,,607,,8578,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,5580,,,,5580,,30535,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,454,Malawi,MWI,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,6,,,,6,,976,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,458,Malaysia,MYS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1382,,,,1382,,6366,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,7,,,,7,,800,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,484,Mexico,MEX,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1890,,,,1890,,15219,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,490,"Other Asia, nes",,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,2,,,,2,,220,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,499,Montenegro,MNE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,521,,,,521,,5355,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,504,Morocco,MAR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,5,,,,5,,229,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,516,Namibia,NAM,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,8,,,,8,,63,,,6
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,528,Netherlands,NLD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,9762,,,,9762,,383903,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,554,New Zealand,NZL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,2600,,,,2600,,17494,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,579,Norway,NOR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3320,,,,3320,,29760,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,586,Pakistan,PAK,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3120,,,,3120,,25575,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,591,Panama,PAN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,434,,,,434,,1989,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,604,Peru,PER,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1486,,,,1486,,7052,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,608,Philippines,PHL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,8,,,,8,,63,,,6
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,616,Poland,POL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,29022,,,,29022,,291284,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,620,Portugal,PRT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,218,,,,218,,3521,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,634,Qatar,QAT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,7,,,,7,,164,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,642,Romania,ROU,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,30087,,,,30087,,260939,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,643,Russian Federation,RUS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3096,,,,3096,,24246,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,682,Saudi Arabia,SAU,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,814,,,,814,,4002,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,688,Serbia,SRB,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,34223,,,,34223,,210221,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,2430,,,,2430,,89769,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,702,Singapore,SGP,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,726,,,,726,,7368,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,703,Slovakia,SVK,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,46031,,,,46031,,356655,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,704,Viet Nam,VNM,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,21493,,,,21493,,18092,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,705,Slovenia,SVN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,44889,,,,44889,,373865,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,710,South Africa,ZAF,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1656,,,,1656,,7217,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,724,Spain,ESP,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,4637,,,,4637,,53804,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,752,Sweden,SWE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,15994,,,,15994,,55983,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,757,Switzerland,CHE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,26787,,,,26787,,194638,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,762,Tajikistan,TJK,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,465,,,,465,,413,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,764,Thailand,THA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,378,,,,378,,4951,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,784,United Arab Emirates,ARE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1396,,,,1396,,12938,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,788,Tunisia,TUN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,46,,,,46,,2031,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,792,Turkey,TUR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1401,,,,1401,,23723,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,804,Ukraine,UKR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1090,,,,1090,,13047,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,807,North Macedonia,MKD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,73,,,,73,,770,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,818,Egypt,EGY,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,172,,,,172,,3207,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,826,United Kingdom,GBR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,6452,,,,6452,,165197,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,842,USA,USA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,25582,,,,25582,,206882,,,0
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,860,Uzbekistan,UZB,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,33,,,,33,,2823,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,6718,,,,6718,,29520,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,414,Kuwait,KWT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,370,,,,370,,543,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,512,Oman,OMN,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,30,,,,30,,4717,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,634,Qatar,QAT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,100,,,,100,,111,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,682,Saudi Arabia,SAU,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,4263,,,,4263,,14929,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,784,United Arab Emirates,ARE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1955,,,,1955,,9218,,,0
H5,2017,2017,2017,6,1,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,642,,,,642,,655,,,0
H5,2017,2017,2017,6,1,2,Export,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,642,,,,642,,655,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,88986905,,,,88986905,,469854442,,,6
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,114192,,,,114192,,470174,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,28761,,,,28761,,74232,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,31,Azerbaijan,AZE,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,4,,,,4,,177,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,15195,,,,15195,,132924,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,36,Australia,AUS,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,187268,,,,187268,,1039616,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,40,Austria,AUT,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,655253,,,,655253,,3424822,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,168286,,,,168286,,564261,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,50,Bangladesh,BGD,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,3238,,,,3238,,11373,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,51,Armenia,ARM,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,6,,,,6,,27,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,68,Bolivia (Plurinational State of),BOL,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1,,,,1,,11,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,70,Bosnia Herzegovina,BIH,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1504,,,,1504,,6996,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,391000,Silicones; in primary forms,8,Weight in kilograms,1070580,,,,1070580,,5394485,,,0
